year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2002,1,2002-01-02,2002-12-31,2002-01-04,,2002-12-23,0.5,0.5,5,GLW | NXTL | PCS | PWER | T,GLW:0.1000000000 | NXTL:0.1000000000 | PCS:0.1000000000 | PWER:0.1000000000 | T:0.1000000000,2002-12-30,443
2002,2,2002-01-07,2002-01-11,2002-01-11,,2002-01-10,0.5,0.5,5,BRCM | EQR | NTAP | PALM | QLGC,BRCM:0.1000000000 | EQR:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | QLGC:0.1000000000,2002-01-11,435
2002,3,2002-01-14,2002-01-18,2002-01-18,,2002-01-17,0.5,0.5,5,BRCM | CNXT | NTAP | NVDA | QLGC,BRCM:0.1000000000 | CNXT:0.1000000000 | NTAP:0.1000000000 | NVDA:0.1000000000 | QLGC:0.1000000000,2002-01-18,435
2002,4,2002-01-22,2002-01-25,,,2002-01-17,0.5,0.5,5,BRCM | CNXT | NTAP | NVDA | QLGC,BRCM:0.1000000000 | CNXT:0.1000000000 | NTAP:0.1000000000 | NVDA:0.1000000000 | QLGC:0.1000000000,2002-01-18,435
2002,5,2002-01-28,2002-02-01,2002-01-28,,2002-01-25,0.5,0.5,5,NTAP | NVDA | PALM | SAPE | SEBL,NTAP:0.1000000000 | NVDA:0.1000000000 | PALM:0.1000000000 | SAPE:0.1000000000 | SEBL:0.1000000000,2002-02-01,435
2002,6,2002-02-04,2002-02-08,2002-02-04,,2002-02-01,0.5,0.5,5,NTAP | NVDA | PALM | SAPE | SEBL,NTAP:0.1000000000 | NVDA:0.1000000000 | PALM:0.1000000000 | SAPE:0.1000000000 | SEBL:0.1000000000,2002-02-07,434
2002,7,2002-02-11,2002-02-15,2002-02-11,,2002-02-08,0.5,0.5,5,ADCT | NTAP | NVDA | PALM | SEBL,ADCT:0.1000000000 | NTAP:0.1000000000 | NVDA:0.1000000000 | PALM:0.1000000000 | SEBL:0.1000000000,2002-02-15,435
2002,8,2002-02-19,2002-02-22,2002-02-19,,2002-02-15,0.5,0.5,5,NOVL | OMX | PALM | SEBL | TSG,NOVL:0.1000000000 | OMX:0.1000000000 | PALM:0.1000000000 | SEBL:0.1000000000 | TSG:0.1000000000,2002-02-22,435
2002,9,2002-02-25,2002-03-01,2002-02-26,,2002-02-25,0.5,0.5,5,NOVL | NVDA | OMX | RATL | SEBL,NOVL:0.1000000000 | NVDA:0.1000000000 | OMX:0.1000000000 | RATL:0.1000000000 | SEBL:0.1000000000,2002-02-26,435
2002,10,2002-03-04,2002-03-08,2002-03-05,,2002-03-04,0.5,0.5,5,NOVL | NVDA | OMX | PVN | SEBL,NOVL:0.1000000000 | NVDA:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | SEBL:0.1000000000,2002-03-08,435
2002,11,2002-03-11,2002-03-15,2002-03-12,,2002-03-11,0.5,0.5,5,OMX | PTC | SEBL | TSG | XRX,OMX:0.1000000000 | PTC:0.1000000000 | SEBL:0.1000000000 | TSG:0.1000000000 | XRX:0.1000000000,2002-03-11,436
