ticker,eligible,selection_rank,score,momentum_return,momentum_percentile,annualized_volatility,volatility_percentile,incumbent,next_target,action
AXON,True,1.0,1.1336428873631714,0.39949402023919056,0.99096657633243,0.679988664032598,0.9511754068716094,False,True,BUY
TECH,True,2.0,1.1334538878842677,0.49864836764399934,1.0,0.5310322204877853,0.8896925858951176,True,True,RETAIN
CRL,True,3.0,1.1252293068440027,0.4616694023952837,0.996386630532972,0.4926244285997203,0.8589511754068716,False,True,BUY
DELL,True,4.0,1.1209089453763736,0.28422638543167916,0.974706413730804,0.8437563965904178,0.9746835443037974,True,True,RETAIN
IQV,True,5.0,1.1184916877800484,0.4668518294891916,0.998193315266486,0.437541954222514,0.8019891500904159,False,True,BUY
IP,True,6.0,1.1149292436263725,0.35996298581122815,0.988256549232159,0.473999506826106,0.8444846292947559,False,False,
WDAY,True,7.0,1.113406058111214,0.2826506024096391,0.9728997289972899,0.6327640176491378,0.9367088607594937,False,False,
DLTR,True,8.0,1.1047623539827924,0.32220715552310497,0.982836495031617,0.4438358102097313,0.8128390596745028,False,False,
EXPE,True,9.0,1.1044039573909905,0.30557026836158047,0.979223125564589,0.4641034892749413,0.8345388788426763,False,False,
BBY,True,10.0,1.102270199013021,0.3862720793306469,0.989159891598916,0.39947590266589567,0.7540687160940326,False,False,
