year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2024,1,2024-01-02,2024-12-31,2024-01-02 | 2024-12-30,,2024-12-27,1.0,0.0,5,GEV | PLTR | TPL | UAL | VST,GEV:0.2000000000 | PLTR:0.2000000000 | TPL:0.2000000000 | UAL:0.2000000000 | VST:0.2000000000,2024-12-23,503
2024,2,2024-01-08,2024-01-12,2024-01-09,,2024-01-08,1.0,0.0,5,AES | CCL | DXCM | EXPE | PODD,AES:0.2000000000 | CCL:0.2000000000 | DXCM:0.2000000000 | EXPE:0.2000000000 | PODD:0.2000000000,2023-12-18,503
2024,3,2024-01-16,2024-01-19,2024-01-17,,2024-01-16,1.0,0.0,5,AES | CCL | DXCM | EXPE | PODD,AES:0.2000000000 | CCL:0.2000000000 | DXCM:0.2000000000 | EXPE:0.2000000000 | PODD:0.2000000000,2023-12-18,503
2024,4,2024-01-22,2024-01-26,2024-01-24,,2024-01-23,1.0,0.0,5,BLDR | CCL | EXPE | NCLH | PODD,BLDR:0.2000000000 | CCL:0.2000000000 | EXPE:0.2000000000 | NCLH:0.2000000000 | PODD:0.2000000000,2023-12-18,503
2024,5,2024-01-29,2024-02-02,2024-01-31,,2024-01-30,1.0,0.0,5,BLDR | CCL | EXPE | NCLH | PODD,BLDR:0.2000000000 | CCL:0.2000000000 | EXPE:0.2000000000 | NCLH:0.2000000000 | PODD:0.2000000000,2024-02-01,503
2024,6,2024-02-05,2024-02-09,2024-02-07,,2024-02-06,1.0,0.0,5,ALGN | BBWI | CCL | ENPH | MRNA,ALGN:0.2000000000 | BBWI:0.2000000000 | CCL:0.2000000000 | ENPH:0.2000000000 | MRNA:0.2000000000,2024-02-01,503
2024,7,2024-02-12,2024-02-16,2024-02-14,,2024-02-13,1.0,0.0,5,ALGN | BBWI | CCL | ENPH | MRNA,ALGN:0.2000000000 | BBWI:0.2000000000 | CCL:0.2000000000 | ENPH:0.2000000000 | MRNA:0.2000000000,2024-02-01,503
2024,8,2024-02-20,2024-02-23,2024-02-22,,2024-02-21,1.0,0.0,5,ALGN | BBWI | ILMN | MRNA | PANW,ALGN:0.2000000000 | BBWI:0.2000000000 | ILMN:0.2000000000 | MRNA:0.2000000000 | PANW:0.2000000000,2024-02-01,503
2024,9,2024-02-26,2024-03-01,2024-02-29,,2024-02-28,1.0,0.0,5,AMD | BBWI | ILMN | MRNA | PANW,AMD:0.2000000000 | BBWI:0.2000000000 | ILMN:0.2000000000 | MRNA:0.2000000000 | PANW:0.2000000000,2024-02-01,503
2024,10,2024-03-04,2024-03-08,2024-03-07,,2024-03-06,1.0,0.0,5,AMD | CTLT | ILMN | META | NVDA,AMD:0.2000000000 | CTLT:0.2000000000 | ILMN:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000,2024-03-04,503
2024,11,2024-03-11,2024-03-15,2024-03-14,,2024-03-13,1.0,0.0,5,ALGN | AMD | CTLT | META | NVDA,ALGN:0.2000000000 | AMD:0.2000000000 | CTLT:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000,2024-03-04,503
2024,12,2024-03-18,2024-03-22,2024-03-21,,2024-03-20,1.0,0.0,5,ALGN | AMD | CTLT | META | NVDA,ALGN:0.2000000000 | AMD:0.2000000000 | CTLT:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000,2024-03-18,503
2024,13,2024-03-25,2024-03-28,2024-03-28,,2024-03-27,1.0,0.0,5,AMD | CTLT | META | NVDA | SMCI,AMD:0.2000000000 | CTLT:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-03-25,503
2024,14,2024-04-01,2024-04-05,2024-04-05,,2024-04-04,1.0,0.0,5,AMD | CTLT | META | NVDA | SMCI,AMD:0.2000000000 | CTLT:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-04-02,503
2024,15,2024-04-08,2024-04-12,2024-04-12,,2024-04-11,1.0,0.0,5,AMD | DOC | META | NVDA | SMCI,AMD:0.2000000000 | DOC:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-04-02,503
2024,16,2024-04-15,2024-04-19,2024-04-19,,2024-04-18,1.0,0.0,5,DOC | GE | META | NVDA | SMCI,DOC:0.2000000000 | GE:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-04-02,503
2024,17,2024-04-22,2024-04-26,2024-04-26,,2024-04-25,1.0,0.0,5,DOC | GE | META | NVDA | SMCI,DOC:0.2000000000 | GE:0.2000000000 | META:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-04-02,503
2024,18,2024-04-29,2024-05-03,2024-05-03,,2024-05-02,1.0,0.0,5,DOC | META | MU | NVDA | SMCI,DOC:0.2000000000 | META:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000,2024-04-02,503
2024,19,2024-05-06,2024-05-10,2024-05-10,,2024-05-09,1.0,0.0,5,DOC | MU | NVDA | SMCI | VST,DOC:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | SMCI:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,20,2024-05-13,2024-05-17,2024-05-17,,2024-05-16,1.0,0.0,5,CEG | DOC | MU | NVDA | VST,CEG:0.2000000000 | DOC:0.2000000000 | MU:0.2000000000 | NVDA:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,21,2024-05-20,2024-05-24,2024-05-24,,2024-05-23,1.0,0.0,5,CEG | DOC | FSLR | MU | VST,CEG:0.2000000000 | DOC:0.2000000000 | FSLR:0.2000000000 | MU:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,22,2024-05-28,2024-05-31,,,2024-05-23,1.0,0.0,5,CEG | DOC | FSLR | MU | VST,CEG:0.2000000000 | DOC:0.2000000000 | FSLR:0.2000000000 | MU:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,23,2024-06-03,2024-06-07,2024-06-03,,2024-05-31,1.0,0.0,5,DOC | FCX | MU | NEM | VST,DOC:0.2000000000 | FCX:0.2000000000 | MU:0.2000000000 | NEM:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,24,2024-06-10,2024-06-14,2024-06-10,,2024-06-07,1.0,0.0,5,FCX | MU | NEM | UAL | VST,FCX:0.2000000000 | MU:0.2000000000 | NEM:0.2000000000 | UAL:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,25,2024-06-17,2024-06-21,2024-06-17,,2024-06-14,1.0,0.0,5,FSLR | MU | NEM | UAL | VST,FSLR:0.2000000000 | MU:0.2000000000 | NEM:0.2000000000 | UAL:0.2000000000 | VST:0.2000000000,2024-05-08,503
2024,26,2024-06-24,2024-06-28,2024-06-25,,2024-06-24,1.0,0.0,5,FSLR | MRNA | NEM | TER | VST,FSLR:0.2000000000 | MRNA:0.2000000000 | NEM:0.2000000000 | TER:0.2000000000 | VST:0.2000000000,2024-06-24,503
2024,27,2024-07-01,2024-07-05,2024-07-02,,2024-07-01,1.0,0.0,5,FSLR | MRNA | NVDA | TER | VST,FSLR:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000 | VST:0.2000000000,2024-06-24,503
2024,28,2024-07-08,2024-07-12,2024-07-10,,2024-07-09,1.0,0.0,5,FSLR | MRNA | NVDA | TER | VST,FSLR:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000 | VST:0.2000000000,2024-07-08,503
2024,29,2024-07-15,2024-07-19,2024-07-17,,2024-07-16,1.0,0.0,5,FSLR | MRNA | NVDA | TER | VST,FSLR:0.2000000000 | MRNA:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000 | VST:0.2000000000,2024-07-08,503
2024,30,2024-07-22,2024-07-26,2024-07-24,,2024-07-23,1.0,0.0,5,FSLR | MPWR | NVDA | TER | VST,FSLR:0.2000000000 | MPWR:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000 | VST:0.2000000000,2024-07-08,503
2024,31,2024-07-29,2024-08-02,2024-07-31,,2024-07-30,1.0,0.0,5,CRWD | FSLR | MPWR | NVDA | TER,CRWD:0.2000000000 | FSLR:0.2000000000 | MPWR:0.2000000000 | NVDA:0.2000000000 | TER:0.2000000000,2024-07-08,503
